fs_type,corp,stock_code,sector,label_en,label_ko,2018,2019,2020,2021,2022,YoY
bs,LG유플러스,032640,통신업,total_assets,자산총계,13939948000000.0,17941050000000.0,18350190000000.0,19370515000000.0,19774800000000.0,2.1
bs,LG이노텍,011070,전기전자,total_assets,자산총계,5756067240947.0,5770780509572.0,6038600271628.0,7741352841297.0,9793617826430.0,26.5
bs,LG전자,066570,전기전자,total_assets,자산총계,,44859875000000.0,48204227000000.0,53481478000000.0,55156141000000.0,3.1
bs,LG헬로비전,037560,서비스업,total_assets,자산총계,1936966228657.0,1790671377931.0,1472721455548.0,1488116032317.0,1428013437283.0,-4.0
bs,LG화학,051910,화학,total_assets,자산총계,28944137000000.0,34024426000000.0,41388894000000.0,51135302000000.0,67973823000000.0,32.9
bs,LIG넥스원,079550,기계,total_assets,자산총계,2322091224454.0,2317491215306.0,2595606499093.0,2576847035470.0,3012727223129.0,16.9
bs,LS,006260,기타금융,total_assets,자산총계,10490289000000.0,10763512000000.0,11660540000000.0,12625931000000.0,16813978000000.0,33.2
bs,LS네트웍스,000680,유통업,total_assets,자산총계,1273639854605.0,1173590680306.0,1228401794045.0,1309373198056.0,1300442455061.0,-0.7
bs,LS전선아시아,229640,기타금융,total_assets,자산총계,349635787126.0,359661266694.0,416558419110.0,495255400435.0,506732778044.0,2.3
bs,LX세미콘,108320,전기전자,total_assets,자산총계,607558305864.0,629733290317.0,750602338873.0,1172530981920.0,1289618542133.0,10.0
bs,LX인터내셔널,001120,유통업,total_assets,자산총계,5038072460864.0,4875982304085.0,5395942204029.0,6746889021744.0,7719007333629.0,14.4
bs,LX하우시스,108670,화학,total_assets,자산총계,2509714000000.0,2565579000000.0,2385372000000.0,2547391000000.0,2483729000000.0,-2.5
bs,LX홀딩스,383800,기타금융,total_assets,자산총계,,,,1442547000000.0,1635041000000.0,13.3
bs,MH에탄올,023150,음식료품,total_assets,자산총계,440177523335.0,451474450928.0,449679365546.0,451460751811.0,447440404391.0,-0.9
bs,NAVER,035420,서비스업,total_assets,자산총계,9881190909324.0,12299527120786.0,17014238663770.0,33691006757040.0,33899042889136.0,0.6
bs,NICE,034310,서비스업,total_assets,자산총계,,2564827369380.0,2730355252812.0,3083783180088.0,3378563521222.0,9.6
bs,OCI홀딩스,010060,화학,total_assets,자산총계,5659590446000.0,4811211712000.0,4437236050000.0,5704061113000.0,6745534254000.0,18.3
bs,POSCO홀딩스,005490,철강금속,total_assets,자산총계,78248265216732.0,79058661130791.0,79086973226376.0,91471614111915.0,98406780635254.0,7.6
bs,S-Oil,010950,화학,total_assets,자산총계,15955044000000.0,16333401000000.0,15690510000000.0,18693235000000.0,19613135000000.0,4.9
bs,SBS,034120,서비스업,total_assets,자산총계,957646530721.0,1247762887743.0,1169090150715.0,1462149708150.0,1407888696660.0,-3.7
bs,SGC에너지,005090,전기가스업,total_assets,자산총계,,,2675392823996.0,2591549830557.0,3054362176494.0,17.9
bs,SG글로벌,001380,운수장비,total_assets,자산총계,199625376276.0,204066347761.0,198865921890.0,187021454393.0,185935448420.0,-0.6
bs,SG세계물산,004060,유통업,total_assets,자산총계,334422865461.0,287724873803.0,267195626007.0,308412903410.0,303815670161.0,-1.5
bs,SH에너지화학,002360,화학,total_assets,자산총계,122434685433.0,123415831892.0,117356594102.0,119629057587.0,124160292131.0,3.8
bs,SIMPAC,009160,철강금속,total_assets,자산총계,681750819286.0,679145849664.0,737277692318.0,903229593071.0,965098438859.0,6.8
bs,SK,034730,기타금융,total_assets,자산총계,119456991000000.0,132611423000000.0,137667906000000.0,165368363000000.0,194505860000000.0,17.6
bs,SKC,011790,화학,total_assets,자산총계,3833128681093.0,3972988752154.0,5406405840533.0,6180132503610.0,6393092564908.0,3.4
bs,SK가스,018670,유통업,total_assets,자산총계,3755607241785.0,4082417323183.0,4498920423918.0,5121535471833.0,5831776891571.0,13.9
bs,SK네트웍스,001740,유통업,total_assets,자산총계,,10138772000000.0,8773482000000.0,9410916000000.0,9499259000000.0,0.9
bs,SK디스커버리,006120,기타금융,total_assets,자산총계,4805607746851.0,5000106971919.0,5621634328840.0,6881873214685.0,11780098492498.0,71.2
bs,SK디앤디,210980,서비스업,total_assets,자산총계,1490079875404.0,1396932626675.0,1712427674048.0,1983430768039.0,2191576214447.0,10.5
bs,SK렌터카,068400,서비스업,total_assets,자산총계,1173209251233.0,1645170543768.0,2227147661818.0,2860204475518.0,3341970518606.0,16.8
bs,SK바이오사이언스,302440,의약품,total_assets,자산총계,,,562231771504.0,2110122672078.0,2141931383550.0,1.5
bs,SK아이이테크놀로지,361610,전기전자,total_assets,자산총계,,780246101000.0,1991629071000.0,3184524107000.0,3497335365000.0,9.8
bs,SK오션플랜트,100090,철강금속,total_assets,자산총계,538058343411.0,627931343574.0,660044446686.0,739392190185.0,1220003934152.0,65.0
bs,SK이노베이션,096770,화학,total_assets,자산총계,,39534500042000.0,38498146106000.0,49544942070000.0,67218924277000.0,35.7
bs,SK케미칼,285130,화학,total_assets,자산총계,1950805010838.0,2131709150029.0,2119966956886.0,3955632394256.0,3945682879744.0,-0.3
bs,SK텔레콤,017670,통신업,total_assets,자산총계,42369111000000.0,45202368000000.0,47906957000000.0,30911277000000.0,31308262000000.0,1.3
bs,SK하이닉스,000660,전기전자,total_assets,자산총계,63658335000000.0,65248350000000.0,71173853000000.0,96346525000000.0,103871512000000.0,7.8
bs,SNT다이내믹스,003570,운수장비,total_assets,자산총계,845671572122.0,841373802156.0,833364508363.0,879625081379.0,930994305130.0,5.8
bs,SNT모티브,064960,운수장비,total_assets,자산총계,1196519724467.0,1038905998088.0,1092927846387.0,1149796359145.0,1225486689781.0,6.6
bs,SNT에너지,100840,기계,total_assets,자산총계,280991533997.0,333897234560.0,335351656753.0,332143487939.0,429772701838.0,29.4
bs,SNT홀딩스,036530,기타금융,total_assets,자산총계,2113834573475.0,2236679025435.0,2270485739579.0,2372324440132.0,2558426986621.0,7.8
bs,SPC삼립,005610,음식료품,total_assets,자산총계,752266529519.0,1196293065818.0,1181871545430.0,1222983111086.0,1295399585606.0,5.9
bs,STX,011810,유통업,total_assets,자산총계,554061000000.0,560107000000.0,650840000000.0,676149000000.0,741784000000.0,9.7
bs,STX엔진,077970,기계,total_assets,자산총계,864148000000.0,828375000000.0,809261000000.0,837480000000.0,853388000000.0,1.9
bs,STX중공업,071970,기계,total_assets,자산총계,567197922629.0,447548959282.0,467363345753.0,430406730156.0,416290993852.0,-3.3
bs,SUN&L,002820,종이목재,total_assets,자산총계,625332075304.0,543553941107.0,528379078958.0,566176956589.0,524434319704.0,-7.4
bs,TCC스틸,002710,철강금속,total_assets,자산총계,304781578880.0,314210087320.0,306758931554.0,366996614848.0,507482316790.0,38.3
bs,TYM,002900,기계,total_assets,자산총계,581549456923.0,628615584124.0,656859440050.0,707428247565.0,782128426554.0,10.6
bs,WISCOM,024070,화학,total_assets,자산총계,127792594630.0,135113962135.0,130666514703.0,135283853674.0,128503266423.0,-5.0
bs,YG PLUS,037270,서비스업,total_assets,자산총계,,156670578363.0,150978437293.0,223117829736.0,241371893905.0,8.2
bs,가온전선,000500,전기전자,total_assets,자산총계,526494275213.0,512573535099.0,542461377882.0,658966428816.0,752332445010.0,14.2
bs,강남제비스코,000860,화학,total_assets,자산총계,657866049667.0,672270312827.0,712155828911.0,904010952337.0,957791314832.0,5.9
bs,강원랜드,035250,서비스업,total_assets,자산총계,,4438119305668.0,3641632200970.0,3827273463677.0,4167752670696.0,8.9
bs,경농,002100,화학,total_assets,자산총계,357260541135.0,370874090990.0,371525656350.0,388785779466.0,448632689252.0,15.4
bs,경동나비엔,009450,전기전자,total_assets,자산총계,583595818485.0,609808342818.0,734688738144.0,933884528777.0,1018019428372.0,9.0
bs,경동도시가스,267290,전기가스업,total_assets,자산총계,778269612439.0,749999474069.0,699658164834.0,904491765792.0,1067615033035.0,18.0
bs,경동인베스트,012320,기타금융,total_assets,자산총계,600099804382.0,605467383487.0,589277834910.0,577693061246.0,586813597619.0,1.6
bs,경방,000050,유통업,total_assets,자산총계,1301792841122.0,1370742491338.0,1264902051181.0,1270805118229.0,1248318313535.0,-1.8
bs,경인양행,012610,화학,total_assets,자산총계,412996589313.0,472081003161.0,505102150581.0,579492465098.0,548252999063.0,-5.4
bs,경인전자,009140,전기전자,total_assets,자산총계,57418577876.0,56871283730.0,57835598428.0,65884752780.0,68385030301.0,3.8
bs,계룡건설산업,013580,건설업,total_assets,자산총계,1726211682257.0,2004566138171.0,2070254078107.0,2327054067482.0,2560028661008.0,10.0
bs,계양전기,012200,기계,total_assets,자산총계,273358874947.0,281736766096.0,294209839079.0,285053130217.0,297554555403.0,4.4
bs,고려산업,002140,음식료품,total_assets,자산총계,213622766568.0,206489849711.0,216577001107.0,238594901035.0,274703527826.0,15.1
bs,고려아연,010130,철강금속,total_assets,자산총계,7225894143698.0,7840561221499.0,8499645577650.0,9964048634649.0,12097918358974.0,21.4
bs,고려제강,002240,철강금속,total_assets,자산총계,2390589074382.0,2346638058685.0,2245729071452.0,2474272367565.0,2532768398255.0,2.4
bs,광동제약,009290,의약품,total_assets,자산총계,732056804258.0,792776012791.0,830643378837.0,883845298043.0,932023758862.0,5.5
bs,광명전기,017040,전기전자,total_assets,자산총계,151823119344.0,156712705142.0,165884690369.0,169926626919.0,172178417133.0,1.3
bs,광전자,017900,전기전자,total_assets,자산총계,262117704395.0,260279874598.0,243369782680.0,238961555432.0,247855306698.0,3.7
bs,교촌에프앤비,339770,유통업,total_assets,자산총계,112163710522.0,158080125257.0,229529528906.0,254727912986.0,304973382954.0,19.7
bs,국도화학,007690,화학,total_assets,자산총계,854418440592.0,905420095055.0,930557566476.0,1416366191782.0,1499093658603.0,5.8
bs,국동,005320,유통업,total_assets,자산총계,123134701589.0,133723726191.0,180700681914.0,168474550907.0,175008166225.0,3.9
bs,국보,001140,운수창고업,total_assets,자산총계,48188112711.0,115356448465.0,90823630562.0,102314951997.0,109959854401.0,7.5
bs,국제약품,002720,의약품,total_assets,자산총계,126234895634.0,134593614097.0,145625551890.0,139783046684.0,136592862806.0,-2.3
bs,극동유화,014530,화학,total_assets,자산총계,280142460192.0,289929212225.0,292655447721.0,321935348473.0,353076046774.0,9.7
bs,금강공업,014280,철강금속,total_assets,자산총계,852848676558.0,834006206201.0,779160209350.0,868658748310.0,1094801795415.0,26.0
bs,금양,001570,화학,total_assets,자산총계,204777155570.0,224222540377.0,219851714051.0,314832084702.0,282778726386.0,-10.2
bs,금호건설,002990,건설업,total_assets,자산총계,1182209921759.0,1337430597464.0,1377242594074.0,1735985668782.0,1691163707318.0,-2.6
bs,금호석유화학,011780,화학,total_assets,자산총계,4616720747880.0,4538042397798.0,5027282217052.0,8115674806919.0,7719272223622.0,-4.9
bs,금호에이치티,214330,운수장비,total_assets,자산총계,238380055775.0,322078193091.0,344298588585.0,458795624447.0,426633825138.0,-7.0
bs,금호전기,001210,전기전자,total_assets,자산총계,170295317411.0,73092108652.0,67783031106.0,83849543774.0,61814213952.0,-26.3
bs,금호타이어,073240,화학,total_assets,자산총계,4221394925703.0,3929463543364.0,3846201934226.0,4342205985504.0,4694985403484.0,8.1
bs,기아,000270,운수장비,total_assets,자산총계,51786605000000.0,55344798000000.0,60490443000000.0,66849997000000.0,73710965000000.0,10.3
bs,깨끗한나라,004540,종이목재,total_assets,자산총계,599409866789.0,538264108142.0,563050290343.0,598691300314.0,661046979250.0,10.4
bs,남광토건,001260,건설업,total_assets,자산총계,148906646963.0,202566664735.0,204018820097.0,273978348947.0,345922884373.0,26.3
bs,남선알미늄,008350,철강금속,total_assets,자산총계,303023071213.0,295529661298.0,295152803875.0,355238354994.0,401195143871.0,12.9
bs,남성,004270,유통업,total_assets,자산총계,205083689218.0,204791616714.0,233037086341.0,288756909702.0,271152128807.0,-6.1
bs,남양유업,003920,음식료품,total_assets,자산총계,1052659643579.0,1056364684667.0,1001076160250.0,937403118931.0,902259070497.0,-3.7
bs,남해화학,025860,화학,total_assets,자산총계,,581138671065.0,589444547288.0,719110524869.0,902896419890.0,25.6
bs,넥센,005720,화학,total_assets,자산총계,3825103266697.0,4098014996093.0,4239211984013.0,4572292481109.0,4726896214044.0,3.4
bs,넥센타이어,002350,화학,total_assets,자산총계,3242285269482.0,3436052113324.0,3541080327475.0,3823413438265.0,3944336739608.0,3.2
bs,넷마블,251270,서비스업,total_assets,자산총계,5433046593422.0,5806087951025.0,8223428815673.0,10663783073696.0,8935573715860.0,-16.2
bs,노루페인트,090350,화학,total_assets,자산총계,607444943254.0,627342505016.0,666659131046.0,670646933870.0,668177302153.0,-0.4
bs,노루홀딩스,000320,기타금융,total_assets,자산총계,987142342109.0,1007372302316.0,1051083864532.0,1055537182156.0,1171989377978.0,11.0
bs,녹십자,006280,의약품,total_assets,자산총계,1723409866445.0,1959299527595.0,2151399593550.0,2462144732200.0,2525537081269.0,2.6
bs,녹십자홀딩스,005250,서비스업,total_assets,자산총계,2628599972133.0,2773868507077.0,3241202077382.0,3496833926967.0,3592060734923.0,2.7
bs,농심,004370,음식료품,total_assets,자산총계,2532286534905.0,2653049874906.0,2725528184628.0,2899907793800.0,3034718535547.0,4.6
bs,농심홀딩스,072710,기타금융,total_assets,자산총계,1194827992549.0,1216468898815.0,1248142699873.0,1328637732004.0,1389130864097.0,4.6
bs,다스코,058730,기계,total_assets,자산총계,212416938151.0,214713941787.0,249543946307.0,298527299745.0,346117669232.0,15.9
bs,다우기술,023590,서비스업,total_assets,자산총계,19345653729825.0,24741606799542.0,38622232829692.0,46322445969793.0,49260008742513.0,6.3
bs,다이나믹디자인,145210,기계,total_assets,자산총계,172063702217.0,160988787633.0,150297442914.0,116040977324.0,97847548126.0,-15.7
bs,대교,019680,서비스업,total_assets,자산총계,830328382202.0,919873574796.0,845161976169.0,813566532780.0,666723788672.0,-18.0
bs,대구백화점,006370,유통업,total_assets,자산총계,700202373645.0,673555125034.0,508655892815.0,486599801677.0,470347262546.0,-3.3
bs,대덕전자,353200,전기전자,total_assets,자산총계,,,809177121206.0,941014398589.0,1191756988159.0,26.6
bs,대동,000490,기계,total_assets,자산총계,772716727753.0,827371930074.0,938726122031.0,1260639075992.0,1713773205581.0,35.9
bs,대림통상,006570,기계,total_assets,자산총계,199273220757.0,179479976890.0,159653334167.0,165802431487.0,171792618625.0,3.6
bs,대상,001680,음식료품,total_assets,자산총계,2191537396279.0,2389611801046.0,2528335046890.0,2870530105668.0,3190196448368.0,11.1
bs,대상홀딩스,084690,기타금융,total_assets,자산총계,2629588765275.0,2888845150934.0,3060158354613.0,3626092434065.0,4015327448810.0,10.7
bs,대성산업,128820,유통업,total_assets,자산총계,1092773443347.0,1032388422641.0,1101676163724.0,1727522535003.0,1824588314611.0,5.6
bs,대성에너지,117580,전기가스업,total_assets,자산총계,653850641813.0,697193345995.0,702116962104.0,742479534651.0,834489958201.0,12.4
bs,대성홀딩스,016710,서비스업,total_assets,자산총계,1117337450347.0,1135842550336.0,1181125454544.0,1244012863048.0,1391346077818.0,11.8
bs,대양금속,009190,철강금속,total_assets,자산총계,,,116257053201.0,157542366949.0,400877091044.0,154.5
bs,대우건설,047040,건설업,total_assets,자산총계,8733846009952.0,9697696817049.0,9305916434448.0,10457976990591.0,11140353752210.0,6.5
bs,대웅,003090,의약품,total_assets,자산총계,1594638291324.0,1670891673350.0,1833668773483.0,1929216825812.0,2158905107252.0,11.9
bs,대웅제약,069620,의약품,total_assets,자산총계,1207846351694.0,1245668149263.0,1363043826228.0,1410687451789.0,1563340613712.0,10.8
bs,대원강업,000430,운수장비,total_assets,자산총계,1085767330274.0,1047989108475.0,1017866946915.0,983029517334.0,1010418825338.0,2.8
bs,대원전선,006340,전기전자,total_assets,자산총계,191535435379.0,189591441581.0,192012755087.0,240573775497.0,245958532474.0,2.2
bs,대원제약,003220,의약품,total_assets,자산총계,275438692395.0,327532232677.0,335214009972.0,429579922427.0,453550065821.0,5.6
bs,대원화성,024890,화학,total_assets,자산총계,124822514071.0,130497955372.0,129796348783.0,135832581638.0,130913447074.0,-3.6
bs,대유에이텍,002880,운수장비,total_assets,자산총계,889580574027.0,1117314245928.0,1166526680240.0,1320996326519.0,1375206765319.0,4.1
bs,대유플러스,000300,전기전자,total_assets,자산총계,1000928258677.0,1087246344837.0,473118284651.0,594393688298.0,543210276853.0,-8.6
bs,대창,012800,철강금속,total_assets,자산총계,569358623036.0,576144363475.0,620282789660.0,810738132401.0,840153818480.0,3.6
bs,대창단조,015230,운수장비,total_assets,자산총계,229017784519.0,238563736894.0,247240845931.0,298478418840.0,338228490208.0,13.3
bs,대한방직,001070,섬유의복,total_assets,자산총계,267468485061.0,197730296951.0,213793932924.0,232612120328.0,210639557874.0,-9.4
bs,대한유화,006650,화학,total_assets,자산총계,1983913415064.0,2026475125984.0,2127550340179.0,2478873031267.0,2195832515923.0,-11.4
bs,대한전선,001440,전기전자,total_assets,자산총계,1172944859000.0,1235075989000.0,1199462928000.0,1420870615000.0,1620264871000.0,14.0
bs,대한제강,084010,철강금속,total_assets,자산총계,657105859875.0,635231706471.0,944860967703.0,1232437581471.0,1220496809666.0,-1.0
bs,대한제당,001790,음식료품,total_assets,자산총계,1135447475000.0,1143146276000.0,1146241857000.0,1182290229000.0,1219466296000.0,3.1
bs,대한제분,001130,음식료품,total_assets,자산총계,919690198948.0,1005108274460.0,1084880807803.0,1321597380773.0,1318431898542.0,-0.2
bs,대한항공,003490,운수창고업,total_assets,자산총계,25842500932737.0,27014118935120.0,25190061074278.0,26671903184202.0,28997701022484.0,8.7
bs,대한해운,005880,운수창고업,total_assets,자산총계,2932927976230.0,3340874141977.0,3345588771234.0,3859734558837.0,4490260111628.0,16.3
bs,더메디팜,118000,유통업,total_assets,자산총계,61440299651.0,69804707697.0,138292817270.0,176303067622.0,189857328007.0,7.7
bs,더블유게임즈,192080,서비스업,total_assets,자산총계,996761336535.0,1074710470364.0,1023166745928.0,1381904218263.0,1235636097982.0,-10.6
bs,더존비즈온,012510,서비스업,total_assets,자산총계,278701439686.0,727012780633.0,804070786659.0,900314202568.0,832892725864.0,-7.5
bs,덕성,004830,화학,total_assets,자산총계,100557111123.0,102872751858.0,105039887131.0,125291791888.0,125172358791.0,-0.1
bs,덕양산업,024900,운수장비,total_assets,자산총계,526312200719.0,509568545937.0,513044313543.0,523564265414.0,520217537029.0,-0.6
bs,덴티움,145720,의료정밀,total_assets,자산총계,436826577081.0,547106597705.0,510235858597.0,570202433075.0,674583964552.0,18.3
bs,도화엔지니어링,002150,서비스업,total_assets,자산총계,375922303922.0,408972323161.0,451680724368.0,500216803197.0,522590275567.0,4.5
bs,동국홀딩스,001230,철강금속,total_assets,자산총계,5730222156546.0,5439008436653.0,5418538741502.0,6334110919060.0,6451247796882.0,1.8
bs,동방,004140,운수창고업,total_assets,자산총계,554091662356.0,628416350561.0,526822000781.0,531255658011.0,567964926094.0,6.9
